00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
1.027,140.701,194.026,246.932,265.261,226.661,179.399,113.827,95.93,79.382,191.211,151.985,116,58.849,30.599,19.7,19.174,19.555,19.948,20.556,21.045,22.21,22.919,24.041
0.533,136.54,280.704,321.045,259.628,179.485,113.943,90.71,115.207,116.764,172.208,135.897,86.064,46.189,28.136,19.631,19.542,19.578,19.805,20.802,21.391,21.962,23.15,23.894
0.498,122.096,253.82,301.181,280.439,279.739,206.96,130.908,99.316,116.929,159.055,111.863,70.838,37.539,24.259,18.609,19.087,19.711,20.117,20.486,20.948,22.203,22.696,23.875
0.741,72.618,182.556,267.717,288.99,228.199,173.004,113.097,97.301,104.249,188.334,143.97,80.362,51.388,25.981,19.493,19.414,20.271,20.485,20.414,21.043,22.393,22.818,23.71
0.865,118.314,237.97,285.38,307.011,271.29,194.813,112.74,77.463,91.819,154.249,107.82,73.885,50.648,26.011,19.577,19.093,19.846,20.071,20.369,20.967,22.194,22.968,23.817
0.529,129.819,265.971,326.284,327.011,248.865,164.118,115.713,94.986,102.957,145.877,108.33,70.8,36.695,22.666,19.212,19.023,19.162,19.438,20.457,20.934,21.662,22.894,23.668
0.734,95.109,141.811,257.068,318.399,256.483,188.551,116.36,105.553,120.842,147.264,99.175,50.547,33.479,20.039,18.859,19.144,19.704,19.761,20.296,21.277,22.203,23.059,23.753
0.57,82.057,205.176,246.479,282.603,220.556,148.937,83.527,69.517,114.927,169.654,129.465,70.114,34.554,24.71,19.413,19.283,19.95,20.083,20.431,21.246,21.984,23.121,23.791
0.695,127.538,252.241,282.651,298.026,255.146,178.41,108.58,81.592,106.624,179.489,123.772,78.672,44.807,23.749,18.759,18.789,19.379,19.85,20.173,21.385,21.938,22.804,23.629
0.543,128.859,220.867,267.901,274.929,222.492,165.614,101.152,83.398,144.71,204.293,155.524,112.115,56.211,28.916,19.882,19.013,20.122,19.874,20.679,21.198,21.967,23.255,23.933
0.387,159.668,263.974,302.87,281.675,236.457,149.84,81.96,48.691,144.198,173.698,107.725,53.205,32.829,22.4,18.531,19.132,19.23,19.892,20.275,20.971,22.369,23.054,23.813
0.441,148.439,249.153,314.909,301.642,217.542,138.559,79.232,93.282,114.143,151.24,116.463,69.545,43.202,23.08,18.769,18.72,19.012,20.115,20.151,21.071,21.971,23.051,23.504
0.333,76.736,151.703,269.161,289.251,262.496,200.79,124.092,86.463,101.498,123.068,81.608,46.887,25.927,20.226,18.853,19.648,19.871,20.036,20.233,21.024,21.616,22.578,23.497
0.464,135.156,242.985,329.645,300.873,242.256,153.285,88.355,73.977,114.693,182.783,147.176,81.395,40.951,19.348,17.785,19.308,19.763,19.621,20.721,20.972,21.814,22.968,23.725
0.338,112.869,218.781,277.406,319.413,259.086,156.751,90.924,94.438,112.627,169.77,117.64,68.888,33.692,24.187,18.784,18.708,19.394,19.904,20.453,21.122,22.255,23.056,23.891
0.858,126.153,240.745,274.151,272.41,229.889,148.446,101.101,74.446,92.043,185.062,138.308,108.599,66.656,28.78,19.446,19.738,19.277,20.035,20.346,21.086,22.342,22.898,24.142
0.989,74.219,175.525,261.36,301.953,261.156,164.441,121.975,88.244,121.628,178.213,123.756,74.653,40.081,20.701,18.295,19.657,19.542,20.283,20.425,21.094,22.243,23.059,23.82
0.872,125.534,238.133,267.701,253.218,194.356,144.907,98.076,104.713,136.738,187.482,118.989,66.948,39.909,23.356,18.792,18.982,19.593,20.068,20.657,21.077,22.08,22.924,23.903
0.377,82.66,205.989,293.158,294.942,227.039,170.599,96.987,70.571,89.347,137.852,104.344,65.716,30.124,23.901,19.46,19.187,19.895,19.689,20.171,21.078,21.624,22.84,23.569
0.51,150.352,239.898,236.899,260.373,224.194,153.81,116.296,99.867,112.889,171.244,130.358,92.652,53.228,22.119,18.056,19,19.751,19.983,20.455,21.338,21.703,22.779,23.424
0.524,138.531,238.177,252.5,247.436,179.105,143.492,115.381,73.263,102.658,169.539,138.78,85.799,31.46,20.898,18.523,19.222,19.615,20.477,20.55,21.147,22.08,22.943,24.262
0.503,109.94,196.584,227.853,215.668,209.592,148.852,95.502,96.016,155.618,214.001,154.999,87.728,51.305,30.724,19.925,19.37,19.5,20.057,20.638,21.112,22.45,23.261,24.082
0.634,92.961,186.481,327.034,296.789,237.059,151.214,97.937,68.699,116.167,196.393,151.72,90.882,51.35,27.202,19.444,19.383,19.373,19.977,20.072,21.157,22.088,22.904,24.035
0.512,81.753,167.386,236.604,264.476,241.434,181.439,104.236,82.842,96.05,162.631,112.748,66.927,37.98,29.858,20.346,19.746,20.432,20.401,20.951,21.573,22.241,23.145,23.744
0.598,110.147,213.377,263.104,232.964,187.584,126.324,87.752,88.876,108.852,176.039,130.917,91.423,58.569,31.576,20.22,18.721,19.77,19.672,20.373,21.304,22.305,23.102,23.682
0.711,116.847,237.387,264.605,250.346,187.219,117.127,108.039,110.108,135.742,186.634,133.037,75.944,42.57,19.667,18.603,19.508,19.247,19.872,20.433,21.359,22.11,22.962,23.993
0.51,136.079,214.481,261.136,258.226,222.402,155.643,79.459,82.108,133.524,212.457,163.4,89.258,47.887,26.735,19.645,19.148,19.606,19.923,20.198,21.155,21.854,23.34,23.621
0.409,112.166,231.197,287.089,295.989,207.811,197.269,124.738,103.131,95.378,146.535,111.328,72.061,34.412,22.813,18.849,18.556,19.623,20.157,20.701,21.021,22.264,23.067,24.023
0.505,88.853,236.428,277.149,248.026,244.587,192.949,146.262,115.014,127.081,175.044,119.098,58.03,29.283,20.864,18.355,18.78,19.365,19.978,20.642,21.161,21.713,22.859,23.438
0.747,160.488,258.355,285.501,280.134,239.583,156.307,110.796,89.568,113.383,148.725,103.953,60.973,39.855,21.798,19.016,19.305,19.581,19.941,20.509,21.142,21.878,22.959,23.694
0.646,113.724,180.576,245.678,263.45,233.944,190.795,114.23,78.01,95.403,193.954,143.442,87.548,45.627,25.553,19.57,19.178,19.481,20.07,20.628,21.029,22.085,23.303,23.766
