date,type,day
1/1/17,0,Sunday
1/2/17,0,Monday
1/3/17,1,Tuesday
1/4/17,1,Wednesday
1/5/17,1,Thursday
1/6/17,1,Friday
1/7/17,0,Saturday
1/8/17,0,Sunday
1/9/17,1,Monday
1/10/17,1,Tuesday
1/11/17,1,Wednesday
1/12/17,1,Thursday
1/13/17,1,Friday
1/14/17,0,Saturday
1/15/17,0,Sunday
1/16/17,1,Monday
1/17/17,1,Tuesday
1/18/17,1,Wednesday
1/19/17,1,Thursday
1/20/17,1,Friday
1/21/17,0,Saturday
1/22/17,0,Sunday
1/23/17,1,Monday
1/24/17,1,Tuesday
1/25/17,1,Wednesday
1/26/17,1,Thursday
1/27/17,1,Friday
1/28/17,0,Saturday
1/29/17,0,Sunday
1/30/17,1,Monday
1/31/17,1,Tuesday
2/1/17,1,Wednesday
2/2/17,1,Thursday
2/3/17,1,Friday
2/4/17,0,Saturday
2/5/17,0,Sunday
2/6/17,1,Monday
2/7/17,1,Tuesday
2/8/17,1,Wednesday
2/9/17,1,Thursday
2/10/17,1,Friday
2/11/17,0,Saturday
2/12/17,0,Sunday
2/13/17,1,Monday
2/14/17,1,Tuesday
2/15/17,1,Wednesday
2/16/17,1,Thursday
2/17/17,1,Friday
2/18/17,0,Saturday
2/19/17,0,Sunday
2/20/17,1,Monday
2/21/17,1,Tuesday
2/22/17,1,Wednesday
2/23/17,1,Thursday
2/24/17,1,Friday
2/25/17,0,Saturday
2/26/17,0,Sunday
2/27/17,0,Monday
2/28/17,0,Tuesday
3/1/17,1,Wednesday
3/2/17,1,Thursday
3/3/17,1,Friday
3/4/17,0,Saturday
3/5/17,0,Sunday
3/6/17,1,Monday
3/7/17,1,Tuesday
3/8/17,1,Wednesday
3/9/17,1,Thursday
3/10/17,1,Friday
3/11/17,0,Saturday
3/12/17,0,Sunday
3/13/17,1,Monday
3/14/17,1,Tuesday
3/15/17,1,Wednesday
3/16/17,1,Thursday
3/17/17,1,Friday
3/18/17,0,Saturday
3/19/17,0,Sunday
3/20/17,1,Monday
3/21/17,1,Tuesday
3/22/17,1,Wednesday
3/23/17,1,Thursday
3/24/17,1,Friday
3/25/17,0,Saturday
3/26/17,0,Sunday
3/27/17,1,Monday
3/28/17,1,Tuesday
3/29/17,1,Wednesday
3/30/17,1,Thursday
3/31/17,1,Friday
4/1/17,0,Saturday
4/2/17,0,Sunday
4/3/17,1,Monday
4/4/17,1,Tuesday
4/5/17,1,Wednesday
4/6/17,1,Thursday
4/7/17,1,Friday
4/8/17,0,Saturday
4/9/17,0,Sunday
4/10/17,1,Monday
4/11/17,1,Tuesday
4/12/17,1,Wednesday
4/13/17,1,Thursday
4/14/17,0,Friday
4/15/17,0,Saturday
4/16/17,0,Sunday
4/17/17,1,Monday
4/18/17,1,Tuesday
4/19/17,1,Wednesday
4/20/17,1,Thursday
4/21/17,1,Friday
4/22/17,0,Saturday
4/23/17,0,Sunday
4/24/17,1,Monday
4/25/17,1,Tuesday
4/26/17,1,Wednesday
4/27/17,1,Thursday
4/28/17,1,Friday
4/29/17,0,Saturday
4/30/17,0,Sunday
5/1/17,0,Monday
5/2/17,1,Tuesday
5/3/17,1,Wednesday
5/4/17,1,Thursday
5/5/17,1,Friday
5/6/17,0,Saturday
5/7/17,0,Sunday
5/8/17,1,Monday
5/9/17,1,Tuesday
5/10/17,1,Wednesday
5/11/17,1,Thursday
5/12/17,1,Friday
5/13/17,0,Saturday
5/14/17,0,Sunday
5/15/17,1,Monday
5/16/17,1,Tuesday
5/17/17,1,Wednesday
5/18/17,1,Thursday
5/19/17,1,Friday
5/20/17,0,Saturday
5/21/17,0,Sunday
5/22/17,1,Monday
5/23/17,1,Tuesday
5/24/17,1,Wednesday
5/25/17,1,Thursday
5/26/17,0,Friday
5/27/17,0,Saturday
5/28/17,0,Sunday
5/29/17,1,Monday
5/30/17,1,Tuesday
5/31/17,1,Wednesday
6/1/17,1,Thursday
6/2/17,1,Friday
6/3/17,0,Saturday
6/4/17,0,Sunday
6/5/17,1,Monday
6/6/17,1,Tuesday
6/7/17,1,Wednesday
6/8/17,1,Thursday
6/9/17,1,Friday
6/10/17,0,Saturday
6/11/17,0,Sunday
6/12/17,1,Monday
6/13/17,1,Tuesday
6/14/17,1,Wednesday
6/15/17,1,Thursday
6/16/17,1,Friday
6/17/17,0,Saturday
6/18/17,0,Sunday
6/19/17,1,Monday
6/20/17,1,Tuesday
6/21/17,1,Wednesday
6/22/17,1,Thursday
6/23/17,1,Friday
6/24/17,0,Saturday
6/25/17,0,Sunday
6/26/17,1,Monday
6/27/17,1,Tuesday
6/28/17,1,Wednesday
6/29/17,1,Thursday
6/30/17,1,Friday
7/1/17,0,Saturday
7/2/17,0,Sunday
7/3/17,1,Monday
7/4/17,1,Tuesday
7/5/17,1,Wednesday
7/6/17,1,Thursday
7/7/17,1,Friday
7/8/17,0,Saturday
7/9/17,0,Sunday
7/10/17,1,Monday
7/11/17,1,Tuesday
7/12/17,1,Wednesday
7/13/17,1,Thursday
7/14/17,1,Friday
7/15/17,0,Saturday
7/16/17,0,Sunday
7/17/17,1,Monday
7/18/17,1,Tuesday
7/19/17,1,Wednesday
7/20/17,1,Thursday
7/21/17,1,Friday
7/22/17,0,Saturday
7/23/17,0,Sunday
7/24/17,0,Monday
7/25/17,1,Tuesday
7/26/17,1,Wednesday
7/27/17,1,Thursday
7/28/17,1,Friday
7/29/17,0,Saturday
7/30/17,0,Sunday
7/31/17,1,Monday
8/1/17,1,Tuesday
8/2/17,1,Wednesday
8/3/17,1,Thursday
8/4/17,1,Friday
8/5/17,0,Saturday
8/6/17,0,Sunday
8/7/17,1,Monday
8/8/17,1,Tuesday
8/9/17,1,Wednesday
8/10/17,1,Thursday
8/11/17,0,Friday
8/12/17,0,Saturday
8/13/17,0,Sunday
8/14/17,1,Monday
8/15/17,1,Tuesday
8/16/17,1,Wednesday
8/17/17,1,Thursday
8/18/17,1,Friday
8/19/17,0,Saturday
8/20/17,0,Sunday
8/21/17,1,Monday
8/22/17,1,Tuesday
8/23/17,1,Wednesday
8/24/17,1,Thursday
8/25/17,1,Friday
8/26/17,0,Saturday
