date,type,day
1/1/19,0,Tuesday
1/2/19,1,Wednesday
1/3/19,1,Thursday
1/4/19,1,Friday
1/5/19,0,Saturday
1/6/19,0,Sunday
1/7/19,1,Monday
1/8/19,1,Tuesday
1/9/19,1,Wednesday
1/10/19,1,Thursday
1/11/19,1,Friday
1/12/19,0,Saturday
1/13/19,0,Sunday
1/14/19,1,Monday
1/15/19,1,Tuesday
1/16/19,1,Wednesday
1/17/19,1,Thursday
1/18/19,1,Friday
1/19/19,0,Saturday
1/20/19,0,Sunday
1/21/19,1,Monday
1/22/19,1,Tuesday
1/23/19,1,Wednesday
1/24/19,1,Thursday
1/25/19,1,Friday
1/26/19,0,Saturday
1/27/19,0,Sunday
1/28/19,1,Monday
1/29/19,1,Tuesday
1/30/19,1,Wednesday
1/31/19,1,Thursday
2/1/19,1,Friday
2/2/19,0,Saturday
2/3/19,0,Sunday
2/4/19,1,Monday
2/5/19,1,Tuesday
2/6/19,1,Wednesday
2/7/19,1,Thursday
2/8/19,1,Friday
2/9/19,0,Saturday
2/10/19,0,Sunday
2/11/19,1,Monday
2/12/19,1,Tuesday
2/13/19,1,Wednesday
2/14/19,1,Thursday
2/15/19,1,Friday
2/16/19,0,Saturday
2/17/19,0,Sunday
2/18/19,1,Monday
2/19/19,1,Tuesday
2/20/19,1,Wednesday
2/21/19,1,Thursday
2/22/19,1,Friday
2/23/19,0,Saturday
2/24/19,0,Sunday
2/25/19,1,Monday
2/26/19,1,Tuesday
2/27/19,1,Wednesday
2/28/19,1,Thursday
3/1/19,1,Friday
3/2/19,0,Saturday
3/3/19,0,Sunday
3/4/19,0,Monday
3/5/19,0,Tuesday
3/6/19,1,Wednesday
3/7/19,1,Thursday
3/8/19,1,Friday
3/9/19,0,Saturday
3/10/19,0,Sunday
3/11/19,1,Monday
3/12/19,1,Tuesday
3/13/19,1,Wednesday
3/14/19,1,Thursday
3/15/19,1,Friday
3/16/19,0,Saturday
3/17/19,0,Sunday
3/18/19,1,Monday
3/19/19,1,Tuesday
3/20/19,1,Wednesday
3/21/19,1,Thursday
3/22/19,1,Friday
3/23/19,0,Saturday
3/24/19,0,Sunday
3/25/19,1,Monday
3/26/19,1,Tuesday
3/27/19,1,Wednesday
3/28/19,1,Thursday
3/29/19,1,Friday
3/30/19,0,Saturday
3/31/19,0,Sunday
4/1/19,1,Monday
4/2/19,1,Tuesday
4/3/19,1,Wednesday
4/4/19,1,Thursday
4/5/19,1,Friday
4/6/19,0,Saturday
4/7/19,0,Sunday
4/8/19,1,Monday
4/9/19,1,Tuesday
4/10/19,1,Wednesday
4/11/19,1,Thursday
4/12/19,1,Friday
4/13/19,0,Saturday
4/14/19,0,Sunday
4/15/19,1,Monday
4/16/19,1,Tuesday
4/17/19,1,Wednesday
4/18/19,1,Thursday
4/19/19,0,Friday
4/20/19,0,Saturday
4/21/19,0,Sunday
4/22/19,1,Monday
4/23/19,1,Tuesday
4/24/19,1,Wednesday
4/25/19,1,Thursday
4/26/19,1,Friday
4/27/19,0,Saturday
4/28/19,0,Sunday
4/29/19,1,Monday
4/30/19,1,Tuesday
5/1/19,1,Wednesday
5/2/19,1,Thursday
5/3/19,0,Friday
5/4/19,0,Saturday
5/5/19,0,Sunday
5/6/19,1,Monday
5/7/19,1,Tuesday
5/8/19,1,Wednesday
5/9/19,1,Thursday
5/10/19,1,Friday
5/11/19,0,Saturday
5/12/19,0,Sunday
5/13/19,1,Monday
5/14/19,1,Tuesday
5/15/19,1,Wednesday
5/16/19,1,Thursday
5/17/19,1,Friday
5/18/19,0,Saturday
5/19/19,0,Sunday
5/20/19,1,Monday
5/21/19,1,Tuesday
5/22/19,1,Wednesday
5/23/19,1,Thursday
5/24/19,0,Friday
5/25/19,0,Saturday
5/26/19,0,Sunday
5/27/19,1,Monday
5/28/19,1,Tuesday
5/29/19,1,Wednesday
5/30/19,1,Thursday
5/31/19,1,Friday
6/1/19,0,Saturday
6/2/19,0,Sunday
6/3/19,1,Monday
6/4/19,1,Tuesday
6/5/19,1,Wednesday
6/6/19,1,Thursday
6/7/19,1,Friday
6/8/19,0,Saturday
6/9/19,0,Sunday
6/10/19,1,Monday
6/11/19,1,Tuesday
6/12/19,1,Wednesday
6/13/19,1,Thursday
