Dato,Potencia
1,0
2,0
3,0
4,0
5,0
6,0
7,14198.5488
8,191136.2969
9,555660.75
10,928061.6875
11,1221515.625
12,1385343.125
13,1499216.5
14,1489655.75
15,1416978.875
16,1263074.875
17,924330.6875
18,453964.9063
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,15312.668
32,200256.5313
33,563796.375
34,908422.125
35,1146170.125
36,1360780.625
37,1383840.25
38,1411667.375
39,1365133.5
40,1167908.375
41,874298.9375
42,424453.6875
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,15675.4053
56,192613.1563
57,584161.4375
58,946457.625
59,1226645.75
60,1399723
61,1483644.75
62,1454418.5
63,1393452.875
64,1240766.625
65,876423.5625
66,433755.3125
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,11218.9258
80,130740.6484
81,362555.2813
82,480600.1563
83,571128.875
84,162195.0938
85,619476.4375
86,553639.75
87,471816.75
88,299231.8125
89,377660.6563
90,483709.3125
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,111463.7891
105,293790.7813
106,479019.6563
107,608438.875
108,596883.125
109,117189.8438
110,638027.875
111,1067404.375
112,1393038.25
113,1040561.875
114,518454.3125
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,15157.21
128,198002.3906
129,554987.0625
130,886813.375
131,1120286.25
132,1291886.625
133,1349820.75
134,1326061.5
135,1226205.375
136,981124.875
137,684147.25
138,271922.9375
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,15649.4951
152,235545.625
153,526486.3125
154,656086.9375
155,862846.8125
156,933502.75
157,1034576.75
158,799419.75
159,885077.4375
160,734153.0625
161,610978.0625
162,405669.125
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,14690.834
176,202044.3125
177,554676.125
178,915935.9375
179,1180785.5
180,1355598.625
181,1426125
182,1414128.875
183,1318599.5
184,1069943.5
185,738350.4375
186,344029.8125
187,0
188,0
189,0
190,0
